network_config,strategy,strategy_params,neg_pos_ratio,pred_threshold,evidence_ratio,occ_thr,edge_thr,weight_thr,total_samples,positive_samples,negative_samples,negative_candidates_count,evaluated_days,skipped_days,tp,fp,tn,fn,precision,recall,f1_score,accuracy
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.5,0.3,2,1,0.2,363,121,242,44,29,24,15,14,228,106,0.5172413793103449,0.12396694214876033,0.2,0.6694214876033058
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.5,0.5,2,1,0.2,270,90,180,44,29,24,26,33,147,64,0.4406779661016949,0.28888888888888886,0.34899328859060397,0.6407407407407407
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.5,0.7,2,1,0.2,189,63,126,44,29,24,26,36,90,37,0.41935483870967744,0.4126984126984127,0.416,0.6137566137566137
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.1,0.2,2,1,0.2,256,130,126,12,29,24,120,39,87,10,0.7547169811320755,0.9230769230769231,0.8304498269896194,0.80859375
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.1,0.3,2,1,0.2,241,121,120,12,29,24,116,54,66,5,0.6823529411764706,0.9586776859504132,0.7972508591065292,0.7551867219917012
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.1,0.5,2,1,0.2,180,90,90,12,29,24,88,51,39,2,0.6330935251798561,0.9777777777777777,0.7685589519650655,0.7055555555555556
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.1,0.7,2,1,0.2,126,63,63,12,29,24,63,32,31,0,0.6631578947368421,1.0,0.7974683544303798,0.746031746031746
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.2,0.2,2,1,0.2,256,130,126,12,29,24,71,15,111,59,0.8255813953488372,0.5461538461538461,0.6574074074074073,0.7109375
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.2,0.3,2,1,0.2,241,121,120,12,29,24,77,29,91,44,0.7264150943396226,0.6363636363636364,0.6784140969162996,0.6970954356846473
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.2,0.5,2,1,0.2,180,90,90,12,29,24,69,43,47,21,0.6160714285714286,0.7666666666666667,0.6831683168316831,0.6444444444444445
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.2,0.7,2,1,0.2,126,63,63,12,29,24,51,29,34,12,0.6375,0.8095238095238095,0.7132867132867132,0.6746031746031746
Conservative,FloodFrequency,{'max_flood_count': 2},1.0,0.3,0.2,2,1,0.2,256,130,126,12,29,24,43,10,116,87,0.8113207547169812,0.33076923076923076,0.4699453551912569,0.62109375
