occ_thr,edge_thr,weight_thr,evidence_count,pred_threshold,neg_pos_ratio,marginal_prob_threshold,tp,fp,tn,fn,total_samples,positive_samples,negative_samples,precision,recall,f1_score,accuracy,valid_days,total_days,network_nodes,negative_candidates_count,runtime_seconds
2,1,0.2,3,0.1,1.5,0.03,45,34,18,1,98,46,52,0.569620253164557,0.9782608695652174,0.7200000000000001,0.6428571428571429,10,29,53,11,0.9448838233947754
2,1,0.2,3,0.1,1.5,0.05,45,56,10,1,112,46,66,0.44554455445544555,0.9782608695652174,0.6122448979591837,0.49107142857142855,10,29,53,24,0.9752373695373535
2,1,0.2,3,0.1,1.5,0.08,45,54,12,1,112,46,66,0.45454545454545453,0.9782608695652174,0.6206896551724138,0.5089285714285714,10,29,53,27,0.9947464466094971
2,1,0.2,3,0.1,2.0,0.03,45,40,24,1,110,46,64,0.5294117647058824,0.9782608695652174,0.6870229007633587,0.6272727272727273,10,29,53,11,0.9635891914367676
2,1,0.2,3,0.1,2.0,0.05,45,71,17,1,134,46,88,0.3879310344827586,0.9782608695652174,0.5555555555555556,0.4626865671641791,10,29,53,24,1.0171432495117188
2,1,0.2,3,0.1,2.0,0.08,45,74,16,1,136,46,90,0.37815126050420167,0.9782608695652174,0.5454545454545455,0.4485294117647059,10,29,53,27,1.0162804126739502
2,1,0.2,3,0.2,1.0,0.03,39,13,30,7,89,46,43,0.75,0.8478260869565217,0.7959183673469389,0.7752808988764045,10,29,53,11,0.920417308807373
2,1,0.2,3,0.2,1.0,0.05,39,24,22,7,92,46,46,0.6190476190476191,0.8478260869565217,0.7155963302752294,0.6630434782608695,10,29,53,24,0.9314384460449219
2,1,0.2,3,0.2,1.0,0.08,39,24,22,7,92,46,46,0.6190476190476191,0.8478260869565217,0.7155963302752294,0.6630434782608695,10,29,53,27,0.9431324005126953
2,1,0.2,3,0.2,1.5,0.03,39,18,34,7,98,46,52,0.6842105263157895,0.8478260869565217,0.7572815533980581,0.7448979591836735,10,29,53,11,1.029982089996338
2,1,0.2,3,0.2,1.5,0.05,39,33,33,7,112,46,66,0.5416666666666666,0.8478260869565217,0.6610169491525423,0.6428571428571429,10,29,53,24,0.9855303764343262
2,1,0.2,3,0.2,1.5,0.08,39,32,34,7,112,46,66,0.5492957746478874,0.8478260869565217,0.6666666666666667,0.6517857142857143,10,29,53,27,0.9900715351104736
2,1,0.2,3,0.2,2.0,0.03,39,23,41,7,110,46,64,0.6290322580645161,0.8478260869565217,0.7222222222222221,0.7272727272727273,10,29,53,11,0.970344066619873
2,1,0.2,3,0.2,2.0,0.05,39,41,47,7,134,46,88,0.4875,0.8478260869565217,0.619047619047619,0.6417910447761194,10,29,53,24,1.0344154834747314
2,1,0.2,3,0.2,2.0,0.08,39,43,47,7,136,46,90,0.47560975609756095,0.8478260869565217,0.609375,0.6323529411764706,10,29,53,27,1.041576623916626
2,1,0.2,3,0.3,1.0,0.03,21,6,37,25,89,46,43,0.7777777777777778,0.45652173913043476,0.5753424657534246,0.651685393258427,10,29,53,11,0.9320485591888428
2,1,0.2,3,0.3,1.0,0.05,21,14,32,25,92,46,46,0.6,0.45652173913043476,0.5185185185185185,0.5760869565217391,10,29,53,24,0.9775557518005371
2,1,0.2,3,0.3,1.0,0.08,21,14,32,25,92,46,46,0.6,0.45652173913043476,0.5185185185185185,0.5760869565217391,10,29,53,27,0.9910125732421875
2,1,0.2,3,0.3,1.5,0.03,21,10,42,25,98,46,52,0.6774193548387096,0.45652173913043476,0.5454545454545454,0.6428571428571429,10,29,53,11,0.9546322822570801
